State,Year,Insurance for Unauth Kids
Illinois,2005,0
Illinois,2006,1
Illinois,2007,1
Illinois,2008,1
Illinois,2009,1
Illinois,2010,1
Illinois,2011,1
Illinois,2012,1
Illinois,2013,1
Illinois,2014,1
Illinois,2015,1
Indiana,2000,0
Indiana,2001,0
Indiana,2002,0
Indiana,2003,0
Indiana,2004,0
Indiana,2005,0
Indiana,2006,0
Indiana,2007,0
Indiana,2008,0
Indiana,2009,0
Indiana,2010,0
Indiana,2011,0
Indiana,2012,0
Indiana,2013,0
Indiana,2014,0
Indiana,2015,0
Iowa,2000,0
Iowa,2001,0
Iowa,2002,0
Iowa,2003,0
Iowa,2004,0
Iowa,2005,0
Iowa,2006,0
Iowa,2007,0
Iowa,2008,0
Iowa,2009,0
Iowa,2010,0
Iowa,2011,0
Iowa,2012,0
Iowa,2013,0
Iowa,2014,0
Iowa,2015,0
Kansas,2000,0
Kansas,2001,0
Kansas,2002,0
Kansas,2003,0
Kansas,2004,0
Kansas,2005,0
Kansas,2006,0
Kansas,2007,0
Kansas,2008,0
Kansas,2009,0
Kansas,2010,0
Kansas,2011,0
Kansas,2012,0
Kansas,2013,0
Kansas,2014,0
Kansas,2015,0
Kentucky,2000,0
Kentucky,2001,0
Kentucky,2002,0
Kentucky,2003,0
Kentucky,2004,0
Kentucky,2005,0
Kentucky,2006,0
Kentucky,2007,0
Kentucky,2008,0
Kentucky,2009,0
Kentucky,2010,0
Kentucky,2011,0
Kentucky,2012,0
Kentucky,2013,0
Kentucky,2014,0
Kentucky,2015,0
Louisiana,2000,0
Louisiana,2001,0
Louisiana,2002,0
Louisiana,2003,0
Louisiana,2004,0
Louisiana,2005,0
Louisiana,2006,0
Louisiana,2007,0
Louisiana,2008,0
Louisiana,2009,0
Louisiana,2010,0
Louisiana,2011,0
Louisiana,2012,0
Louisiana,2013,0
Louisiana,2014,0
Louisiana,2015,0
Maine,2000,0
Maine,2001,0
Maine,2002,0
Maine,2003,0
Maine,2004,0
Maine,2005,0
Maine,2006,0
Maine,2007,0
Maine,2008,0
Maine,2009,0
Maine,2010,0
Maine,2011,0
Maine,2012,0
Maine,2013,0
Maine,2014,0
Maine,2015,0
Maryland,2000,0
Maryland,2001,0
Maryland,2002,0
Maryland,2003,0
Maryland,2004,0
Maryland,2005,0
Maryland,2006,0
Maryland,2007,0
Maryland,2008,0
Maryland,2009,0
Maryland,2010,0
Maryland,2011,0
Maryland,2012,0
Maryland,2013,0
Maryland,2014,0
Maryland,2015,0
Massachusetts,2000,1
Massachusetts,2001,1
Massachusetts,2002,1
Massachusetts,2003,1
Massachusetts,2004,1
Massachusetts,2005,1
Massachusetts,2006,1
Massachusetts,2007,1
Massachusetts,2008,1
Massachusetts,2009,1
Massachusetts,2010,1
Massachusetts,2011,1
Massachusetts,2012,1
Massachusetts,2013,1
Massachusetts,2014,1
Massachusetts,2015,1
Michigan,2000,0
Michigan,2001,0
Michigan,2002,0
Michigan,2003,0
Michigan,2004,0
Michigan,2005,0
Michigan,2006,0
Michigan,2007,0
Michigan,2008,0
Michigan,2009,0
Michigan,2010,0
Michigan,2011,0
Michigan,2012,0
Michigan,2013,0
Michigan,2014,0
Michigan,2015,0
Minnesota,2000,0
Minnesota,2001,0
Minnesota,2002,0
Minnesota,2003,0
Minnesota,2004,0
Minnesota,2005,0
Minnesota,2006,0
Minnesota,2007,0
Minnesota,2008,0
Minnesota,2009,0
Minnesota,2010,0
Minnesota,2011,0
Minnesota,2012,0
Minnesota,2013,0
Minnesota,2014,0
Minnesota,2015,0
Mississippi,2000,0
Mississippi,2001,0
Mississippi,2002,0
Mississippi,2003,0
Mississippi,2004,0
Mississippi,2005,0
Mississippi,2006,0
Mississippi,2007,0
Mississippi,2008,0
Mississippi,2009,0
Mississippi,2010,0
Mississippi,2011,0
Mississippi,2012,0
Mississippi,2013,0
Mississippi,2014,0
Mississippi,2015,0
Missouri,2000,0
Missouri,2001,0
Missouri,2002,0
Missouri,2003,0
Missouri,2004,0
Missouri,2005,0
Missouri,2006,0
Missouri,2007,0
Missouri,2008,0
Missouri,2009,0
Missouri,2010,0
Missouri,2011,0
Missouri,2012,0
Missouri,2013,0
Missouri,2014,0
Missouri,2015,0
Montana,2000,0
Montana,2001,0
Montana,2002,0
Montana,2003,0
Montana,2004,0
Montana,2005,0
Montana,2006,0
Montana,2007,0
Montana,2008,0
Montana,2009,0
Montana,2010,0
Montana,2011,0
Montana,2012,0
Montana,2013,0
Montana,2014,0
Montana,2015,0
Nebraska,2000,0
Nebraska,2001,0
Nebraska,2002,0
Nebraska,2003,0
Nebraska,2004,0
Nebraska,2005,0
Nebraska,2006,0
Nebraska,2007,0
Nebraska,2008,0
Nebraska,2009,0
Nebraska,2010,0
Nebraska,2011,0
Nebraska,2012,0
Nebraska,2013,0
Nebraska,2014,0
Nebraska,2015,0
Nevada,2000,0
Nevada,2001,0
Nevada,2002,0
Nevada,2003,0
Nevada,2004,0
Nevada,2005,0
Nevada,2006,0
Nevada,2007,0
Nevada,2008,0
Nevada,2009,0
Nevada,2010,0
Nevada,2011,0
Nevada,2012,0
Nevada,2013,0
Nevada,2014,0
Nevada,2015,0
New Hampshire,2000,0
New Hampshire,2001,0
New Hampshire,2002,0
New Hampshire,2003,0
New Hampshire,2004,0
New Hampshire,2005,0
New Hampshire,2006,0
New Hampshire,2007,0
New Hampshire,2008,0
New Hampshire,2009,0
New Hampshire,2010,0
New Hampshire,2011,0
New Hampshire,2012,0
New Hampshire,2013,0
New Hampshire,2014,0
New Hampshire,2015,0
New Jersey,2000,0
New Jersey,2001,0
New Jersey,2002,0
New Jersey,2003,0
New Jersey,2004,0
New Jersey,2005,0
New Jersey,2006,0
New Jersey,2007,0
New Jersey,2008,0
New Jersey,2009,0
New Jersey,2010,0
New Jersey,2011,0
New Jersey,2012,0
New Jersey,2013,0
New Jersey,2014,0
New Jersey,2015,0
New Mexico,2000,0
New Mexico,2001,0
New Mexico,2002,0
New Mexico,2003,0
New Mexico,2004,0
New Mexico,2005,0
New Mexico,2006,0
New Mexico,2007,0
New Mexico,2008,0
New Mexico,2009,0
New Mexico,2010,0
New Mexico,2011,0
New Mexico,2012,0
New Mexico,2013,0
New Mexico,2014,0
New Mexico,2015,0
New York,2000,1
New York,2001,1
New York,2002,1
New York,2003,1
New York,2004,1
New York,2005,1
New York,2006,1
New York,2007,1
New York,2008,1
New York,2009,1
New York,2010,1
New York,2011,1
New York,2012,1
New York,2013,1
New York,2014,1
New York,2015,1
North Carolina,2000,0
North Carolina,2001,0
North Carolina,2002,0
North Carolina,2003,0
North Carolina,2004,0
North Carolina,2005,0
North Carolina,2006,0
North Carolina,2007,0
North Carolina,2008,0
North Carolina,2009,0
North Carolina,2010,0
North Carolina,2011,0
North Carolina,2012,0
North Carolina,2013,0
North Carolina,2014,0
North Carolina,2015,0
North Dakota,2000,0
North Dakota,2001,0
North Dakota,2002,0
North Dakota,2003,0
North Dakota,2004,0
North Dakota,2005,0
North Dakota,2006,0
North Dakota,2007,0
North Dakota,2008,0
North Dakota,2009,0
North Dakota,2010,0
North Dakota,2011,0
North Dakota,2012,0
North Dakota,2013,0
North Dakota,2014,0
North Dakota,2015,0
Ohio,2000,0
Ohio,2001,0
Ohio,2002,0
Ohio,2003,0
Ohio,2004,0
Ohio,2005,0
Ohio,2006,0
Ohio,2007,0
Ohio,2008,0
Ohio,2009,0
Ohio,2010,0
Ohio,2011,0
Ohio,2012,0
Ohio,2013,0
Ohio,2014,0
Ohio,2015,0
Oklahoma,2000,0
Oklahoma,2001,0
Oklahoma,2002,0
Oklahoma,2003,0
Oklahoma,2004,0
Oklahoma,2005,0
Oklahoma,2006,0
Oklahoma,2007,0
Oklahoma,2008,0
Oklahoma,2009,0
Oklahoma,2010,0
Oklahoma,2011,0
Oklahoma,2012,0
Oklahoma,2013,0
Oklahoma,2014,0
Oklahoma,2015,0
Oregon,2000,0
Oregon,2001,0
Oregon,2002,0
Oregon,2003,0
Oregon,2004,0
Oregon,2005,0
Oregon,2006,0
Oregon,2007,0
Oregon,2008,0
Oregon,2009,0
Oregon,2010,0
Oregon,2011,0
Oregon,2012,0
Oregon,2013,0
Oregon,2014,0
Oregon,2015,0
Pennsylvania,2000,0
Pennsylvania,2001,0
Pennsylvania,2002,0
Pennsylvania,2003,0
Pennsylvania,2004,0
Pennsylvania,2005,0
Pennsylvania,2006,0
Pennsylvania,2007,0
Pennsylvania,2008,0
Pennsylvania,2009,0
Pennsylvania,2010,0
Pennsylvania,2011,0
Pennsylvania,2012,0
Pennsylvania,2013,0
Pennsylvania,2014,0
Pennsylvania,2015,0
Rhode Island,2000,0
Rhode Island,2001,0
Rhode Island,2002,1
Rhode Island,2003,1
Rhode Island,2004,1
Rhode Island,2005,1
Rhode Island,2006,1
Rhode Island,2007,0
Rhode Island,2008,0
Rhode Island,2009,0
Rhode Island,2010,0
Rhode Island,2011,0
Rhode Island,2012,0
Rhode Island,2013,0
Rhode Island,2014,0
Rhode Island,2015,0
South Carolina,2000,0
South Carolina,2001,0
South Carolina,2002,0
South Carolina,2003,0
South Carolina,2004,0
South Carolina,2005,0
South Carolina,2006,0
South Carolina,2007,0
South Carolina,2008,0
South Carolina,2009,0
South Carolina,2010,0
South Carolina,2011,0
South Carolina,2012,0
South Carolina,2013,0
South Carolina,2014,0
South Carolina,2015,0
South Dakota,2000,0
South Dakota,2001,0
South Dakota,2002,0
South Dakota,2003,0
South Dakota,2004,0
South Dakota,2005,0
South Dakota,2006,0
South Dakota,2007,0
South Dakota,2008,0
South Dakota,2009,0
South Dakota,2010,0
South Dakota,2011,0
South Dakota,2012,0
South Dakota,2013,0
South Dakota,2014,0
South Dakota,2015,0
Tennessee,2000,0
Tennessee,2001,0
Tennessee,2002,0
Tennessee,2003,0
Tennessee,2004,0
Tennessee,2005,0
Tennessee,2006,0
Tennessee,2007,0
Tennessee,2008,0
Tennessee,2009,0
Tennessee,2010,0
Tennessee,2011,0
Tennessee,2012,0
Tennessee,2013,0
Tennessee,2014,0
Tennessee,2015,0
Texas,2000,0
Texas,2001,0
Texas,2002,0
Texas,2003,0
Texas,2004,0
Texas,2005,0
Texas,2006,0
Texas,2007,0
Texas,2008,0
Texas,2009,0
Texas,2010,0
Texas,2011,0
Texas,2012,0
Texas,2013,0
Texas,2014,0
Texas,2015,0
Utah,2000,0
Utah,2001,0
Utah,2002,0
Utah,2003,0
Utah,2004,0
Utah,2005,0
Utah,2006,0
Utah,2007,0
Utah,2008,0
Utah,2009,0
Utah,2010,0
Utah,2011,0
Utah,2012,0
Utah,2013,0
Utah,2014,0
Utah,2015,0
Vermont,2000,0
Vermont,2001,0
Vermont,2002,0
Vermont,2003,0
Vermont,2004,0
Vermont,2005,0
Vermont,2006,0
Vermont,2007,0
Vermont,2008,0
Vermont,2009,0
Vermont,2010,0
Vermont,2011,0
Vermont,2012,0
Vermont,2013,0
Vermont,2014,0
Vermont,2015,0
Virginia,2000,0
Virginia,2001,0
Virginia,2002,0
Virginia,2003,0
Virginia,2004,0
Virginia,2005,0
Virginia,2006,0
Virginia,2007,0
Virginia,2008,0
Virginia,2009,0
Virginia,2010,0
Virginia,2011,0
Virginia,2012,0
Virginia,2013,0
Virginia,2014,0
Virginia,2015,0
Washington,2000,1
Washington,2001,1
Washington,2002,1
Washington,2003,1
Washington,2004,1
Washington,2005,1
Washington,2006,1
Washington,2007,1
Washington,2008,1
Washington,2009,1
Washington,2010,1
Washington,2011,1
Washington,2012,1
Washington,2013,1
Washington,2014,1
Washington,2015,1
West Virginia,2000,0
West Virginia,2001,0
West Virginia,2002,0
West Virginia,2003,0
West Virginia,2004,0
West Virginia,2005,0
West Virginia,2006,0
West Virginia,2007,0
West Virginia,2008,0
West Virginia,2009,0
West Virginia,2010,0
West Virginia,2011,0
West Virginia,2012,0
West Virginia,2013,0
West Virginia,2014,0
West Virginia,2015,0
Wisconsin,2000,0
Wisconsin,2001,0
Wisconsin,2002,0
Wisconsin,2003,0
Wisconsin,2004,0
Wisconsin,2005,0
Wisconsin,2006,0
Wisconsin,2007,0
Wisconsin,2008,0
Wisconsin,2009,0
Wisconsin,2010,0
Wisconsin,2011,0
Wisconsin,2012,0
Wisconsin,2013,0
Wisconsin,2014,0
Wisconsin,2015,0
Wyoming,2000,0
Wyoming,2001,0
Wyoming,2002,0
Wyoming,2003,0
Wyoming,2004,0
Wyoming,2005,0
Wyoming,2006,0
Wyoming,2007,0
Wyoming,2008,0
Wyoming,2009,0
Wyoming,2010,0
Wyoming,2011,0
Wyoming,2012,0
Wyoming,2013,0
Wyoming,2014,0
Wyoming,2015,0
